"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3"
"LOC4349932",9.68577818059308,9.31929863478589,9.64352805005272,10.1822216352669,9.67214986735499,9.75595617086178
"LOC4349933",10.3779389958484,10.6795075107405,10.4347582898105,11.1624280015046,11.1133685132286,11.0210933232768
"LOC4349934",12.8018127819154,12.8912311319519,12.7056113124892,12.4417764486436,12.3952867478472,12.484832345823
"LOC4349938",9.22549745811194,9.53231321080416,9.53771819083349,8.9608978309794,9.26328588928036,9.95217143172776
"LOC4349939",12.0020769272027,11.9694480110173,11.8904480472836,11.7688790114569,11.7558645378185,11.7618619784052
"LOC4349942",11.3236171386564,11.392931325747,11.2880086487517,10.8561115344095,10.8262022616949,10.9283860331996
"LOC4349944",3.13355784483973,3.3363664497243,3.20335986345318,3.00877150936356,3.01150150786142,3.01768240913215
"LOC4349946",8.42973507077375,8.69884133983858,8.6474429792876,8.09166298251997,7.99947580012112,7.79515129136876
"LOC4349947",7.33862615905862,7.08300765602353,7.00195925728624,7.34918867275496,7.76851485726764,7.85592939718012
"LOC4349948",10.4975876900764,10.5250052271083,10.4210861595596,9.17014996597651,9.30534271900416,9.28419530638939
"LOC4349949",10.0429334084926,10.1279377053271,10.1101020776219,10.3500842400539,10.3664651631353,10.2162063714311
"LOC4349952",3.39854383738695,3.5022892907635,3.62036244066849,3.65777279787015,3.4248680121071,3.47085510434321
"LOC4349954",12.4368512899464,12.5077626368685,12.4879409072329,12.3525903986917,12.3187521760227,12.4285475125618
"LOC4349956",12.450355350275,12.4513252401257,12.2584754227056,12.6588099224101,12.7177101420742,12.6186806416318
"LOC4349962",5.53983264446664,5.63749563741637,5.69920935827582,6.47200181789476,6.48478511655316,6.52261066376868
"LOC4349963",13.0617487359618,13.123168345672,13.0510451722532,13.4528908697289,13.1978006777439,13.3593092494706
"LOC4349966",14.1751306488106,14.1928460061067,14.181085749293,13.7258033769649,13.7597939068384,13.695309193911
"LOC4349968",10.7106403042447,10.852294017362,10.7663394329255,10.8554065308915,10.8517637326196,10.8529688247406
"LOC4349969",8.14281864196671,8.05570605699009,8.08083929705381,8.30351154710316,8.19181897518672,8.22126285750473
"LOC4349970",10.8416281276689,11.2768010863214,10.9542200300505,7.82984792639455,7.2295001462605,7.07467315351768
"LOC4349978",10.958767488134,11.0258226978983,11.0843091295083,11.2015719788479,11.1704015281522,11.0887369264437
"LOC4349979",10.9452266195679,10.9184291936033,10.9585513962671,10.6834463299479,10.7864590893858,10.666530876162
"LOC4349982",2.27215173781304,2.46465033868068,2.65203742853927,2.29192392705784,2.32755418532669,2.37119037614185
"LOC4349985",8.93752508587275,9.14425584644495,9.10930720552794,8.65210347782437,8.5642263310068,8.65086366596937
"LOC4349986",11.6333870535935,11.6629735688602,11.576033680348,11.4592611022407,11.4849268721803,11.2530611152338
"LOC4349987",9.81769105721922,9.61111439939278,9.72302990495104,9.68680451571127,9.77642851304635,9.5474580442186
"LOC4349988",11.5122964506414,11.4756649290859,11.3103410191426,10.4753209578393,10.5406713361597,10.4204755684119
"LOC4349989",2.77676179545301,2.96310044361714,2.621980654363,2.58014173613981,2.72107768222132,2.80110620053497
"LOC4349991",7.07185074147931,6.8413970910047,6.82365899748092,7.12055180064025,7.12398478663131,7.34915482728191
"LOC4349995",10.9244188937095,10.8412551293201,10.7458121895145,10.4720484629706,10.3783519810268,10.2525519677748
"LOC4349996",6.06520568809167,6.20412158729367,6.03556794568117,6.02381857268837,6.06023882651853,5.83498148798225
"LOC4349997",9.9388266875913,10.1088251719899,9.8970548440653,9.00353948368008,8.97749658222259,8.7820049956144
"LOC4349998",11.1979355151065,11.2749689867049,11.3370443813576,10.9845042556113,11.0182998377255,10.9949171865953
"LOC4349999",8.43919649020314,8.37412261504273,8.34212515713212,8.58494689867482,8.02300454717168,8.50871708642974
"LOC4350002",15.0558140692456,15.0216888509624,15.1731146883114,15.5218642299691,15.3114303042118,15.3232477744798
"LOC4350003",11.6604648802871,11.6069725110104,11.6159953746715,11.9487856292301,12.0016542393428,11.8245583678098
"LOC4350004",12.9992610732143,12.8990956553308,12.7877701990502,12.6557586133667,12.5735134935906,12.6234583904449
"LOC4350006",3.32744031439754,3.44479221199245,3.44239023050622,3.31123937756023,3.26374325584408,3.26035489247808
"LOC4350008",2.63129790112576,2.70998133047303,2.73716199613829,2.65778727276606,2.69521307851798,2.73211713217854
"LOC4350009",9.28995756651789,9.29796484159288,9.22394659194995,9.45309193938193,9.39460743807468,9.35308329790243
"LOC4350011",5.42606535055714,5.37586297506027,5.62135920452547,5.20445505755025,5.44899565828608,5.56222030791321
"LOC4350016",4.68020267028035,4.63887848692168,4.70607531194412,4.49308704695292,4.31356943909927,4.46671509888133
"LOC4350020",8.39547086816335,8.71689987539989,8.5526304728884,8.77128753111343,8.86370607072069,8.97471694191852
"LOC4350023",12.6172723040822,12.5502616472318,12.5758784316751,12.4032656265356,12.354937942121,12.4283106642503
"LOC4350026",8.57734368641644,8.57219282934742,8.59526137815228,8.91352797634278,8.87321041430113,8.71969326467981
"LOC4350029",5.5896656542083,5.6420666106518,6.11622517784509,5.90883824399675,5.78324971859143,6.3392435560495
"LOC4350030",11.917297880905,11.8699466389982,11.8185726954862,11.8399630728714,11.7381441484105,11.7230274971509
"LOC4350031",12.4628443367676,12.3789269003664,12.4616353117634,12.8393407631684,12.8997886051145,12.7770768999717
"LOC4350032",13.0457295341388,13.0119163476463,13.1373040467782,13.3016305436694,13.3069121743337,13.3028739322822
"LOC4350033",13.5302259027924,13.5971908462538,13.4546247905161,13.2627481072721,13.4052946787468,13.275076932269
"LOC4350034",6.27753933105908,6.23176439633907,6.34325456810906,5.84341780205231,5.93014174076593,6.04896888372754
"LOC4350036",8.73379211280711,8.26076370012356,8.34462737911057,8.75267748902467,8.86462742994111,8.86887790674615
"LOC4350037",2.74598834997487,2.82615547750966,2.79761268079474,2.81505216912741,2.99057932148569,2.75853370973613
"LOC4350038",2.48725060677423,2.48816392607672,2.47743717315578,2.80191344831744,2.77889709449497,2.76303811747911
"LOC4350039",6.63176099522137,6.54364810410566,7.03308165507014,6.69287872237914,6.8490132476119,6.8591899163703
"LOC4350043",3.89794312155159,3.92667897396887,3.7969573663729,3.63956958454745,3.68352181634836,3.6319454798222
