Class	GO_Name	GO_ID	GO_Level	P_value	EnrichmentScore	GeneNo	HitsGenesCountsInBackground	AllGenesCountsInSelectedSet	AllGenesCountsInBackground	GenesOfSelectedSetInGOterm	padj	Type
Biological process	transport	GO:0006810	4	1.10E-04	1.193429313	363	2369	3102	24160	"LOC_Os04g44610,LOC_Os03g48310,LOC_Os05g11560,LOC_Os01g50100,LOC_Os03g37640,LOC_Os01g49120,LOC_Os03g58570,LOC_Os10g28240,LOC_Os02g44980,LOC_Os09g35700,LOC_Os03g22590,LOC_Os01g54515,LOC_Os01g41200,LOC_Os01g74110,LOC_Os01g67820,LOC_Os01g16260,LOC_Os11g02369,LOC_Os05g13320,LOC_Os02g38230,LOC_Os12g01690,LOC_Os07g16970,LOC_Os06g15779,LOC_Os01g65150,LOC_Os04g51820,LOC_Os05g27010,LOC_Os01g45550,LOC_Os05g30660,LOC_Os01g58860,LOC_Os04g51830,LOC_Os03g05290,LOC_Os08g44870,LOC_Os02g44080,LOC_Os03g10640,LOC_Os07g18750,LOC_Os02g36440,LOC_Os03g11900,LOC_Os02g45380,LOC_Os07g31770,LOC_Os12g42130,LOC_Os01g12680,LOC_Os07g04180,LOC_Os01g62070,LOC_Os03g01700,LOC_Os06g34840,LOC_Os09g07670,LOC_Os06g34830,LOC_Os04g41450,LOC_Os11g24450,LOC_Os12g43600,LOC_Os11g37700,LOC_Os01g42410,LOC_Os05g35650,LOC_Os02g57350,LOC_Os01g61550,LOC_Os06g36590,LOC_Os01g70490,LOC_Os04g58230,LOC_Os01g60230,LOC_Os03g17370,LOC_Os01g71700,LOC_Os09g39960,LOC_Os02g36570,LOC_Os09g27980,LOC_Os08g28080,LOC_Os12g13720,LOC_Os01g71740,LOC_Os01g50820,LOC_Os05g15160,LOC_Os05g48040,LOC_Os01g71760,LOC_Os03g07170,LOC_Os03g46770,LOC_Os04g56560,LOC_Os03g25820,LOC_Os03g16900,LOC_Os03g12530,LOC_Os12g42200,LOC_Os11g10640,LOC_Os09g20500,LOC_Os01g67640,LOC_Os11g35930,LOC_Os08g31670,LOC_Os06g08460,LOC_Os01g32120,LOC_Os01g41050,LOC_Os01g42380,LOC_Os09g33720,LOC_Os02g44770,LOC_Os07g20340,LOC_Os01g24010,LOC_Os08g37432,LOC_Os01g41420,LOC_Os02g44730,LOC_Os03g37840,LOC_Os04g48390,LOC_Os09g31130,LOC_Os01g61044,LOC_Os10g35180,LOC_Os12g01040,LOC_Os09g39910,LOC_Os05g34010,LOC_Os06g03560,LOC_Os01g03144,LOC_Os12g02310,LOC_Os02g42940,LOC_Os07g34140,LOC_Os05g34030,LOC_Os12g02320,LOC_Os01g71240,LOC_Os06g36450,LOC_Os01g25386,LOC_Os05g06780,LOC_Os04g49748,LOC_Os04g44060,LOC_Os04g57350,LOC_Os09g38510,LOC_Os07g05640,LOC_Os02g30910,LOC_Os04g49739,LOC_Os07g18990,LOC_Os08g42040,LOC_Os11g42989,LOC_Os03g43720,LOC_Os02g51110,LOC_Os01g23580,LOC_Os09g16330,LOC_Os10g13830,LOC_Os03g37930,LOC_Os12g42300,LOC_Os06g35930,LOC_Os01g56420,LOC_Os04g17100,LOC_Os12g31850,LOC_Os12g31860,LOC_Os04g48290,LOC_Os03g50960,LOC_Os01g64890,LOC_Os04g39320,LOC_Os02g14190,LOC_Os04g38026,LOC_Os09g34990,LOC_Os07g09000,LOC_Os11g01530,LOC_Os11g14000,LOC_Os05g47490,LOC_Os02g02170,LOC_Os02g27490,LOC_Os01g31980,LOC_Os02g32814,LOC_Os02g02190,LOC_Os01g15010,LOC_Os06g38950,LOC_Os07g38400,LOC_Os03g10090,LOC_Os10g02340,LOC_Os08g13570,LOC_Os06g36330,LOC_Os11g32620,LOC_Os10g40600,LOC_Os01g11414,LOC_Os01g36720,LOC_Os11g05010,LOC_Os01g34970,LOC_Os03g63480,LOC_Os01g70660,LOC_Os07g10910,LOC_Os03g09940,LOC_Os11g04580,LOC_Os09g15790,LOC_Os03g09970,LOC_Os02g54980,LOC_Os01g14520,LOC_Os02g34580,LOC_Os03g10100,LOC_Os02g14980,LOC_Os05g34980,LOC_Os07g31884,LOC_Os01g65200,LOC_Os07g41250,LOC_Os08g39370,LOC_Os08g31410,LOC_Os09g28160,LOC_Os08g35490,LOC_Os01g02000,LOC_Os01g28600,LOC_Os03g12790,LOC_Os04g10800,LOC_Os06g06440,LOC_Os06g15370,LOC_Os11g01410,LOC_Os05g35140,LOC_Os06g01580,LOC_Os03g62200,LOC_Os11g07600,LOC_Os07g43290,LOC_Os01g50520,LOC_Os09g23300,LOC_Os09g25960,LOC_Os03g13250,LOC_Os05g14240,LOC_Os12g03870,LOC_Os12g14520,LOC_Os05g02240,LOC_Os04g47220,LOC_Os12g03899,LOC_Os03g46150,LOC_Os03g05640,LOC_Os06g36210,LOC_Os02g37330,LOC_Os04g37990,LOC_Os02g37320,LOC_Os12g44360,LOC_Os02g37300,LOC_Os08g43120,LOC_Os04g50940,LOC_Os01g42090,LOC_Os10g42960,LOC_Os03g43970,LOC_Os12g44300,LOC_Os03g22200,LOC_Os07g33954,LOC_Os02g54880,LOC_Os04g46880,LOC_Os03g48810,LOC_Os05g42250,LOC_Os03g55100,LOC_Os01g25500,LOC_Os02g03900,LOC_Os10g11860,LOC_Os01g50460,LOC_Os07g33780,LOC_Os03g14654,LOC_Os06g29844,LOC_Os07g12890,LOC_Os06g21950,LOC_Os08g37370,LOC_Os03g01300,LOC_Os01g74450,LOC_Os07g06190,LOC_Os06g21920,LOC_Os07g01310,LOC_Os04g35160,LOC_Os04g38220,LOC_Os10g35050,LOC_Os06g08900,LOC_Os03g48000,LOC_Os07g26660,LOC_Os05g01030,LOC_Os10g02100,LOC_Os07g26630,LOC_Os07g34260,LOC_Os12g22284,LOC_Os07g26690,LOC_Os04g56160,LOC_Os08g20570,LOC_Os05g39540,LOC_Os01g68589,LOC_Os08g43250,LOC_Os03g08880,LOC_Os05g39560,LOC_Os02g54730,LOC_Os11g05690,LOC_Os10g40430,LOC_Os10g40440,LOC_Os08g08840,LOC_Os05g41030,LOC_Os09g38210,LOC_Os12g12850,LOC_Os02g21009,LOC_Os01g52130,LOC_Os09g27580,LOC_Os04g10750,LOC_Os01g14700,LOC_Os01g55200,LOC_Os01g08020,LOC_Os12g03270,LOC_Os06g30730,LOC_Os06g16420,LOC_Os08g03690,LOC_Os04g41350,LOC_Os05g47730,LOC_Os07g10590,LOC_Os06g29790,LOC_Os01g11160,LOC_Os05g43390,LOC_Os10g30770,LOC_Os09g20000,LOC_Os10g36070,LOC_Os09g29284,LOC_Os06g12090,LOC_Os12g03260,LOC_Os03g04570,LOC_Os09g08390,LOC_Os03g37490,LOC_Os10g05780,LOC_Os03g08900,LOC_Os04g13220,LOC_Os11g31900,LOC_Os02g17500,LOC_Os03g24160,LOC_Os10g39980,LOC_Os05g39240,LOC_Os03g11734,LOC_Os02g40710,LOC_Os08g28170,LOC_Os04g01354,LOC_Os08g44220,LOC_Os06g48800,LOC_Os03g15290,LOC_Os04g35540,LOC_Os11g18044,LOC_Os09g19820,LOC_Os02g55970,LOC_Os09g26144,LOC_Os05g23740,LOC_Os12g39180,LOC_Os05g29050,LOC_Os02g03720,LOC_Os02g55990,LOC_Os05g47700,LOC_Os04g33740,LOC_Os09g38130,LOC_Os06g42660,LOC_Os02g57720,LOC_Os12g12934,LOC_Os02g45520,LOC_Os02g56200,LOC_Os08g38400,LOC_Os03g46454,LOC_Os06g49220,LOC_Os04g42520,LOC_Os06g49230,LOC_Os04g52780,LOC_Os02g37290,LOC_Os01g70210,LOC_Os05g50654,LOC_Os11g31820,LOC_Os01g70240,LOC_Os01g17214,LOC_Os03g02050,LOC_Os05g35050,LOC_Os02g17650,LOC_Os01g37690,LOC_Os01g20830,LOC_Os11g42430,LOC_Os12g01530,LOC_Os03g64330,LOC_Os02g01210,LOC_Os03g61290,LOC_Os12g02830,LOC_Os11g29420,LOC_Os10g42830,LOC_Os01g59870,LOC_Os12g02840,LOC_Os01g65670,LOC_Os01g65660,LOC_Os07g39360,LOC_Os02g09150,LOC_Os09g19734,LOC_Os08g05580,LOC_Os08g29570,LOC_Os02g55890,LOC_Os01g43460,"	0.00142011	Kit_sig
Biological process	transport	GO:0006810	4	0.00559603	1.131705594	347	2369	3127	24160	"LOC_Os03g48310,LOC_Os01g50100,LOC_Os04g45950,LOC_Os01g49120,LOC_Os04g33900,LOC_Os09g35700,LOC_Os03g22590,LOC_Os08g41720,LOC_Os09g29050,LOC_Os01g41200,LOC_Os04g33920,LOC_Os01g74110,LOC_Os01g50160,LOC_Os01g62950,LOC_Os01g31870,LOC_Os11g01050,LOC_Os11g02389,LOC_Os04g30800,LOC_Os07g16970,LOC_Os11g06700,LOC_Os01g65150,LOC_Os05g27010,LOC_Os09g17810,LOC_Os01g58860,LOC_Os08g10630,LOC_Os04g38860,LOC_Os02g36440,LOC_Os02g45380,LOC_Os03g30200,LOC_Os02g36414,LOC_Os03g57310,LOC_Os10g31040,LOC_Os01g12680,LOC_Os01g46810,LOC_Os08g06550,LOC_Os10g20350,LOC_Os01g65110,LOC_Os12g32760,LOC_Os01g65100,LOC_Os03g01700,LOC_Os11g01820,LOC_Os06g34840,LOC_Os11g29350,LOC_Os04g52260,LOC_Os06g50060,LOC_Os06g37010,LOC_Os11g36400,LOC_Os07g01750,LOC_Os04g16450,LOC_Os01g04990,LOC_Os07g45320,LOC_Os01g42410,LOC_Os05g35650,LOC_Os03g44020,LOC_Os04g38680,LOC_Os11g07940,LOC_Os02g57350,LOC_Os11g41850,LOC_Os10g30610,LOC_Os09g21000,LOC_Os01g61550,LOC_Os01g70490,LOC_Os06g47200,LOC_Os09g38710,LOC_Os07g07930,LOC_Os01g71710,LOC_Os07g07920,LOC_Os01g71700,LOC_Os02g48570,LOC_Os09g39960,LOC_Os01g50820,LOC_Os05g48040,LOC_Os01g71760,LOC_Os04g56560,LOC_Os03g25820,LOC_Os03g16900,LOC_Os01g67630,LOC_Os10g20470,LOC_Os01g20160,LOC_Os11g10640,LOC_Os12g29220,LOC_Os09g20500,LOC_Os08g43654,LOC_Os05g45820,LOC_Os08g34700,LOC_Os10g20450,LOC_Os01g42370,LOC_Os01g12520,LOC_Os01g41050,LOC_Os01g42380,LOC_Os02g06490,LOC_Os07g20340,LOC_Os08g37432,LOC_Os06g40510,LOC_Os02g44730,LOC_Os03g37840,LOC_Os09g20480,LOC_Os09g31130,LOC_Os06g49770,LOC_Os08g01410,LOC_Os03g52650,LOC_Os09g03939,LOC_Os02g57240,LOC_Os12g01040,LOC_Os09g39910,LOC_Os01g71240,LOC_Os06g36450,LOC_Os01g25386,LOC_Os04g48410,LOC_Os01g56430,LOC_Os08g31340,LOC_Os04g49757,LOC_Os03g63370,LOC_Os10g40510,LOC_Os07g18990,LOC_Os02g49510,LOC_Os11g42989,LOC_Os10g40530,LOC_Os02g46460,LOC_Os02g51110,LOC_Os01g23580,LOC_Os09g16330,LOC_Os02g33110,LOC_Os11g31470,LOC_Os03g37930,LOC_Os09g29660,LOC_Os01g56400,LOC_Os11g31430,LOC_Os07g06130,LOC_Os01g56420,LOC_Os03g11380,LOC_Os01g38580,LOC_Os06g35060,LOC_Os04g11820,LOC_Os03g39710,LOC_Os04g48290,LOC_Os03g50960,LOC_Os01g64890,LOC_Os02g14190,LOC_Os12g04220,LOC_Os01g42650,LOC_Os09g34990,LOC_Os11g01530,LOC_Os02g20850,LOC_Os02g47090,LOC_Os07g34006,LOC_Os11g19700,LOC_Os02g51810,LOC_Os12g06840,LOC_Os02g32814,LOC_Os06g38950,LOC_Os07g38400,LOC_Os03g01170,LOC_Os08g13570,LOC_Os09g14520,LOC_Os07g37110,LOC_Os11g32620,LOC_Os06g10580,LOC_Os10g40600,LOC_Os01g11414,LOC_Os03g09980,LOC_Os01g36720,LOC_Os07g26460,LOC_Os10g11354,LOC_Os06g12320,LOC_Os06g12310,LOC_Os08g10550,LOC_Os05g10940,LOC_Os03g10100,LOC_Os10g21590,LOC_Os02g14980,LOC_Os07g31884,LOC_Os12g04170,LOC_Os02g11890,LOC_Os11g32650,LOC_Os09g28160,LOC_Os08g35490,LOC_Os01g12260,LOC_Os04g10800,LOC_Os06g14030,LOC_Os01g53670,LOC_Os11g01410,LOC_Os05g35140,LOC_Os06g01580,LOC_Os03g62200,LOC_Os07g43290,LOC_Os01g42900,LOC_Os01g28690,LOC_Os03g13250,LOC_Os06g29950,LOC_Os04g53930,LOC_Os05g02240,LOC_Os12g03899,LOC_Os03g46150,LOC_Os12g25200,LOC_Os05g44070,LOC_Os03g05640,LOC_Os01g07730,LOC_Os05g07870,LOC_Os10g42900,LOC_Os04g37990,LOC_Os04g37980,LOC_Os06g05080,LOC_Os12g03860,LOC_Os03g50280,LOC_Os12g06060,LOC_Os02g01355,LOC_Os01g42090,LOC_Os10g42960,LOC_Os03g43970,LOC_Os05g48390,LOC_Os02g54880,LOC_Os10g33210,LOC_Os03g48810,LOC_Os01g43320,LOC_Os09g29430,LOC_Os02g18180,LOC_Os02g03900,LOC_Os04g46810,LOC_Os07g17010,LOC_Os04g46820,LOC_Os04g30490,LOC_Os07g33780,LOC_Os11g05700,LOC_Os06g29844,LOC_Os07g12890,LOC_Os01g12130,LOC_Os03g01300,LOC_Os08g30740,LOC_Os07g06190,LOC_Os04g32960,LOC_Os10g42299,LOC_Os06g21920,LOC_Os04g35160,LOC_Os04g32920,LOC_Os04g12499,LOC_Os08g14640,LOC_Os07g26660,LOC_Os10g02210,LOC_Os11g04380,LOC_Os05g39540,LOC_Os03g08880,LOC_Os02g54730,LOC_Os10g40420,LOC_Os10g40430,LOC_Os01g61070,LOC_Os08g08840,LOC_Os05g41030,LOC_Os08g30770,LOC_Os12g12850,LOC_Os02g21009,LOC_Os01g52130,LOC_Os06g45860,LOC_Os10g40470,LOC_Os05g10730,LOC_Os10g40480,LOC_Os01g14700,LOC_Os02g53490,LOC_Os01g08020,LOC_Os05g26840,LOC_Os01g40570,LOC_Os04g49260,LOC_Os10g30790,LOC_Os05g47730,LOC_Os07g10590,LOC_Os05g01560,LOC_Os05g43390,LOC_Os01g65880,LOC_Os09g29284,LOC_Os01g12470,LOC_Os12g03260,LOC_Os08g01880,LOC_Os03g04570,LOC_Os03g42830,LOC_Os09g08390,LOC_Os04g59480,LOC_Os03g37490,LOC_Os12g05810,LOC_Os03g08900,LOC_Os03g25470,LOC_Os04g13220,LOC_Os03g37470,LOC_Os03g29850,LOC_Os06g15910,LOC_Os01g68890,LOC_Os04g52900,LOC_Os08g44220,LOC_Os07g15460,LOC_Os07g07860,LOC_Os04g35540,LOC_Os11g18044,LOC_Os09g19820,LOC_Os03g26800,LOC_Os02g55970,LOC_Os01g04840,LOC_Os01g13770,LOC_Os09g26144,LOC_Os03g14840,LOC_Os12g39180,LOC_Os02g03720,LOC_Os02g36619,LOC_Os03g57990,LOC_Os03g54000,LOC_Os03g57980,LOC_Os09g38130,LOC_Os12g12934,LOC_Os02g45520,LOC_Os08g02450,LOC_Os05g46550,LOC_Os12g02070,LOC_Os09g06499,LOC_Os01g35030,LOC_Os08g38400,LOC_Os03g46454,LOC_Os09g31478,LOC_Os05g12320,LOC_Os09g26900,LOC_Os10g36170,LOC_Os01g70210,LOC_Os10g36160,LOC_Os01g49640,LOC_Os05g35050,LOC_Os05g02140,LOC_Os01g07870,LOC_Os01g20830,LOC_Os11g31770,LOC_Os12g01530,LOC_Os06g48720,LOC_Os09g36220,LOC_Os03g64340,LOC_Os04g13210,LOC_Os02g01210,LOC_Os03g61290,LOC_Os12g02830,LOC_Os11g29420,LOC_Os11g04104,LOC_Os12g30040,LOC_Os09g26000,LOC_Os01g65660,LOC_Os07g07790,LOC_Os09g19734,LOC_Os08g05580,LOC_Os08g29570,LOC_Os12g32650,LOC_Os02g55890,LOC_Os02g44310,LOC_Os06g49190,"	0.052399192	MH_sig
