"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC9271011",16.4799143648427,13.3092063464153,17.8692113583216,1256.5908978187,1526.27286936585,1820.19244878387,775.119091339667,6.57605963632226,0.264834351067197,24.8308409004454,4.16513866391834e-136,1.39263978779341e-133
"LOC9269310",802.80725691591,721.116998405776,596.491293437308,4695.37793365641,4925.6988056807,4626.40914982322,2727.98357298655,2.75189256118046,0.114923219487776,23.945487895709,1.0296497422539e-126,3.14146136361664e-124
"LOC4352143",4875.70037851275,3818.53229357153,4407.73880171934,31965.1323180191,30924.5736617127,40210.6514685624,19367.0548203496,2.97609157563763,0.126233368890169,23.5761082969037,6.77818218778788e-123,1.99327555228345e-120
"LOC4336013",1274.83908979462,1108.2939103015,1249.99388025593,5189.9320848653,5465.19953651003,4982.12675981412,3211.73087692358,2.10502583861893,0.0901011058821127,23.362930099583,1.01836055752953e-120,2.8902493590908e-118
"LOC9272622",866.372640894589,855.418989719604,946.21728716446,7924.41243065455,9955.86976498645,12568.6888863453,5519.49666662749,3.51178306605023,0.150706725260043,23.3020992261008,4.22124000279694e-120,1.18427616078469e-117
"LOC4339526",14575.307118963,16642.5575722675,15751.2843549472,66421.3165766604,80714.5329397475,73664.7485672392,44628.2911883042,2.23297304314451,0.0958935546129615,23.2859554759135,6.15258546365125e-120,1.70650347723636e-117
"LOC4326268",184.810468234308,185.118961000141,179.543028409803,3039.48747795504,2663.22372873838,4494.31518354005,1791.08314131295,4.21425675858986,0.183758925340959,22.9336166979124,2.14726692186693e-116,5.75939461856353e-114
"LOC4342237",12.948504143805,9.67942279739297,22.1237854912554,886.156368216712,1070.83957465668,1092.11546927032,515.643854096028,6.02484595899437,0.262887028723791,22.9180039359208,3.07347701736307e-116,8.15406815649976e-114
"LOC4324958",171.861964090503,177.859393902096,170.182965317349,1399.95387161272,1230.81255989503,1212.76822587542,727.23983011552,2.88739266625187,0.126878384296101,22.757167678881,1.21867843836449e-114,3.13110561301059e-112
"LOC4325031",1285.43332045773,1136.122250844,1226.1682651115,5139.8993691788,5653.73912625522,4950.92346069212,3232.04763208989,2.10973658841973,0.0927955001195446,22.7353329170256,2.00447510903661e-114,5.09637796472558e-112
"LOC4329759",2467.27860776502,2274.66435738735,2501.68959016503,7941.73144762295,8290.84481658734,7821.62697991696,5216.30596657411,1.73098067539593,0.0765617372360538,22.6089524334983,3.53837043733836e-113,8.72369147823786e-111
"LOC4329468",8606.04670866894,7433.7967083978,6856.67167263599,39137.1296781574,44931.1879457701,38446.6249581982,24235.2429453047,2.4200300625439,0.107162539977236,22.5827986445448,6.39673063311895e-113,1.56131401293167e-110
"LOC4332353",323.712603595125,275.8635497257,291.863785519253,1844.47530713511,1807.04178223315,1614.25067457861,1026.20128379782,2.56334706147833,0.115617832564699,22.1708624406526,6.5640647006469e-109,1.44338460552603e-106
"LOC4330759",3157.08073760773,3052.64796472781,2901.6195586608,15159.9128530103,13857.2517519216,12194.2492968812,8387.12702713491,2.17768851285957,0.098360032106671,22.1399735870143,1.30312987586822e-108,2.83989232233854e-106
"LOC4330574",776.9102486283,671.509956569137,635.633375460298,3492.66842196163,3884.24202423106,3408.44037409413,2144.90073349076,2.37396243527303,0.108170505277928,21.9464855893341,9.35607797736959e-107,1.98576653279684e-104
"LOC4341933",581.505549730879,566.246233647489,338.664100981524,8363.1608605208,7103.29025780268,10101.5480357651,4509.06917307474,4.10833366288041,0.188231252886313,21.8259911671615,1.3145683948072e-105,2.71915130342831e-103
"LOC4343492",1598.55169338974,1338.18020173958,1649.9238487517,23336.4131973161,32563.4805717056,17544.574986335,13005.1874165396,4.00081318457031,0.183310349983436,21.8253534780323,1.33303125074552e-105,2.73417031665518e-103
"LOC4324947",90.639529006635,61.7063203333802,85.0914826586744,911.172726059963,1112.46519836666,1007.86656164089,544.823636344368,3.66767593765639,0.16961310343575,21.6237770747808,1.07324301042961e-103,2.11255769343273e-101
"LOC107276064",2358.9820276532,1478.53183230178,966.639243002542,553573.512366778,429894.750280047,576057.62652103,260721.673711802,8.34296067720844,0.387172149166769,21.5484525298715,5.47462545911132e-103,1.05216266303928e-100
"LOC4331328",31637.904170277,31338.3412344094,27145.0338829437,149956.708420933,129448.344039729,124833.998687451,82393.3884059572,2.16534113227154,0.100557834066836,21.5332912881988,7.59439946727518e-103,1.44815704841604e-100
"LOC107276247",619.173925421948,571.085945046185,483.319621501271,2899.97317459845,2779.93871286636,2967.43374650307,1720.15418765621,2.37326278503374,0.110380121468161,21.5008169357588,1.52971456161484e-102,2.8720979246073e-100
"LOC107275604",4.70854696138363,8.46949494771885,2.55274447976023,2650.77176377529,1880.49876525076,2434.89744148745,1163.64979281706,8.87767790295671,0.413348551601549,21.4774622254257,2.5295361474377e-102,4.71304719745492e-100
"LOC4352104",3486.67902490458,4256.52617515356,3690.41760290671,31625.4871519165,44725.5083933208,29608.8105368745,19565.5714808461,3.21231525745679,0.150222257442887,21.3837503984926,1.89289252107453e-101,3.47381358303663e-99
"LOC4349293",6205.86489510363,4908.67728612791,5379.4835336814,29573.1836411605,35709.8880109598,28563.5000162872,18390.0995638867,2.50843354157727,0.118044719387278,21.2498581435706,3.30663062369923e-100,5.93442943112139e-98
"LOC4333342",117.713674034591,110.103434320345,84.2405678320877,934.264748684503,990.853082037511,947.540183338344,530.785948374563,3.21749129797303,0.15227351415978,21.1296844085238,4.2437399207173e-99,7.50588434672956e-97
"LOC9269196",1147.70832183726,769.514112392741,768.37608840783,7636.72431545716,7949.67793990556,9013.59300637771,4547.59896406304,3.1966178556355,0.151779765452614,21.0608960035156,1.81705591507488e-98,3.14543977128706e-96
"LOC4339745",6041.0657514552,6480.3735628546,5746.22782394028,20151.6384103483,19988.4612677913,22372.7654704805,13463.4220478117,1.77511956874211,0.084408182123643,21.0301836158712,3.4730360466414e-98,5.92796250534429e-96
"LOC4326745",31.7826919893395,35.0879076405495,25.5274447976023,634.068454565486,621.119600848884,588.702243435239,322.714723879517,4.34052837024263,0.20720144133219,20.948350273702,1.94244452574225e-97,3.26973696443565e-95
"LOC4349237",433.186320447294,400.486118242134,366.744290258887,2465.07341516961,2207.79043402921,2874.86395910777,1458.02408954249,2.65454878958486,0.129145896220456,20.5546507265973,6.9931693104165e-94,1.13792851019097e-91
"LOC4342196",469.677559398017,452.513015778121,413.544605721158,2375.59182749952,3128.4512878499,2653.32053534151,1582.18313859804,2.61292746132197,0.127427199979003,20.5052568192075,1.9324682333282e-93,3.12368772444203e-91
"LOC107276980",1935.21280112867,1839.09033150466,1561.42870678668,6888.15791537833,7157.15871201559,7250.60660598419,4438.60917879969,1.99838340205428,0.0978340573307126,20.4262549931775,9.7715210055873e-93,1.55773322389614e-90
"LOC4327905",5606.70229426756,3643.09275536878,4877.44378599522,35764.7322073652,43643.2421768614,48190.3751640309,23620.9313973149,3.17494306023639,0.15562650299337,20.4010435187357,1.63685122494763e-92,2.57756546442076e-90
"LOC112939299",140.079272101163,134.301991313828,118.277160895557,1169.99581297668,1648.7011743952,1293.89680359265,750.875369212512,3.39462140703145,0.166932948474371,20.3352390169555,6.27331653806992e-92,9.7528095580389e-90
"LOC4330000",2118.84613262264,1755.60530987715,2111.9705995883,9009.73749400791,8721.79245029064,7844.5093992731,5260.41023094329,2.09439439172685,0.10316244270088,20.3019077184858,1.23688619893536e-91,1.9107543255452e-89
"LOC4341302",985.263451669525,781.613390889483,857.722145199438,4035.33095363831,3677.74628308157,4057.46899583192,2399.19087005171,2.16502098442575,0.106817655307739,20.2683814598661,2.44568906083894e-91,3.7308986623098e-89
"LOC4345161",236.604484809528,205.687734444601,156.568328091961,1502.90580581379,1674.81921280146,1630.89243411034,901.246333345281,3.01518906678226,0.149019032847874,20.2335836514274,4.95663343363312e-91,7.51437943156007e-89
"LOC4331750",249.552988953333,183.909033150466,285.056466906559,2429.47321362345,1944.97767256622,2354.80897374096,1241.29639149016,3.22009362927313,0.159426326654724,20.1980042872531,1.01934293594519e-90,1.53581002349075e-88
"LOC4349876",47953.0193914713,45868.364781146,54136.0521822753,172609.020447997,202266.251305084,185860.371000306,118115.513184713,1.92209259834451,0.0952124706179864,20.1874038754479,1.26330542170465e-90,1.89170298975258e-88
"LOC4326042",1809.25916991166,1937.09448732827,2042.19558380819,6526.38289426054,6906.58878105553,6142.88948715286,4227.40173391951,1.75714880346463,0.0873438751677207,20.1175961118108,5.17572651708002e-90,7.70299590420056e-88
"LOC4330288",1770.41365748025,1213.55763322314,1424.43141970621,8299.65779830331,9266.19031332113,9188.33148146095,5193.76371724917,2.60156575100717,0.130942609230162,19.8679846560436,7.70340603649709e-88,1.11257239372083e-85
"LOC4339080",2012.9038259915,1848.76975430206,1787.77205065875,5973.13651888094,5978.58222893308,5613.47351204944,3869.10631513596,1.63745729957479,0.0824523319124283,19.8594419538542,9.13195931554655e-88,1.30346703493485e-85
"LOC4326519",678.030762439243,479.131428470952,572.665678292879,5323.67338256576,9115.19540378494,7036.34395201306,3867.50676792781,3.63398431115651,0.183018575469203,19.8558222947595,9.81429012620631e-88,1.39271624070025e-85
"LOC4343216",1452.58673758685,1359.95890303371,1305.30334398407,7858.98503321835,10461.9067591078,7371.25936258929,4968.33335658667,2.64197702110223,0.133764297350446,19.7509879200469,7.86638884374439e-87,1.10346447642594e-84
"LOC4336199",1050.00597238855,1078.04571405964,1073.85451115247,3338.7216044647,3094.98755114188,3315.87058669884,2158.58098998435,1.60597078668477,0.0815122909576197,19.7021917531401,2.06484890797948e-86,2.84739164666459e-84
"LOC4351360",2148.27455113128,1725.3571136353,2011.56265005106,8468.99929754994,8863.80928412468,7624.00608547756,5140.33483032831,2.08402915717723,0.10606176328249,19.6492033762113,5.87273049755194e-86,7.87591241671691e-84
"LOC4340403",234.250211328836,217.787012941342,138.699116733639,3021.20629337728,2464.88987459084,3943.05689905122,1669.98156800386,4.0039236105442,0.204246790796312,19.6033611834674,1.44740195226045e-85,1.92009419704024e-83
"LOC4332082",4693.24418375914,4388.40831076804,4184.79911715361,11958.7812166835,12304.8608441495,12072.5564303053,8267.10835046986,1.45411744133159,0.0742737819171709,19.577802608102,2.39115253120789e-85,3.15477032333633e-83
"LOC4329351",1058.24592957097,1015.12946587659,1105.33835973618,3794.78905129936,4161.74618229758,3553.01566002611,2448.04410813447,1.85565898463111,0.0951586925966297,19.500677594396,1.08337517157867e-84,1.41406530416536e-82
"LOC4329734",5299.46960503728,5793.13454423969,5285.88290275686,14667.2830370201,15067.6595943118,14278.6296782314,10065.3432269329,1.42647452178321,0.0734859275181299,19.4115332004387,6.16594855394325e-84,7.87950116778255e-82
"LOC9271639",91.8166657469809,159.710476156984,131.891798120945,1881.03767629063,1376.91033723005,1536.24242677358,862.934896719862,3.64365416008237,0.187739520364559,19.4080295560945,6.60103543018404e-84,8.39156629062147e-82
"LOC4349721",224.833117406069,189.958672398837,212.728706646686,2130.23908711379,1510.76528406214,2260.15896640419,1088.11397233862,3.23175513669662,0.166645221551045,19.3930261343059,8.8380840581501e-84,1.11771997767527e-81
"LOC4335844",2475.51856494745,2212.95803705397,2441.27463747737,10222.0686817962,11726.999244411,14052.9258145822,7188.62416337803,2.3358795731193,0.121225987480092,19.2688021906434,9.81821835955576e-83,1.22893883958993e-80
"LOC4351184",14507.033188023,13868.1930129648,13825.6641023814,33773.0452559987,36835.4122285296,35159.8774506799,24661.5375397629,1.32564033013119,0.0690582101784828,19.1959844702756,3.99834141057786e-82,4.92886450249416e-80
"LOC4333407",4911.01448072313,5030.879998945,4191.6064357663,16808.1059678368,17681.9120010384,19689.2817459878,11385.4667717162,1.93911051375512,0.101154438528924,19.1698015623966,6.61606735583495e-82,8.11482271463414e-80
"LOC4324610",3108.81813125354,2722.33766176677,2353.63041033893,11129.3927374188,11758.0144150184,12268.0971048033,7223.38174343329,2.10361580751432,0.109787211085726,19.1608456641797,7.85860109232584e-82,9.59063677307446e-80
"LOC4347336",1067.66302349374,723.536854105125,808.369085257407,5094.67749153907,5252.99047445916,4948.84324075065,2982.68002826753,2.55760244897942,0.134078376628296,19.075428218152,4.04099000251865e-81,4.81134068202318e-79
"LOC4352868",16422.2346645658,17212.4335894641,17412.2700964446,57859.9491886123,68953.2537699283,55720.7713521424,38930.1521101929,1.83826911912451,0.0964312403370952,19.0630039881107,5.12462851677359e-81,6.0719384872529e-79
"LOC4342304",294.284185086477,200.848023045904,168.481135664175,2154.29327734768,2271.45315264447,2665.80185499031,1292.52693812984,3.42408804542823,0.180013754627245,19.0212578617589,1.13722208828211e-80,1.34093317540047e-78
"LOC4324959",791.03588951245,573.505800745534,642.440694072992,4741.56197890549,5812.07973409317,7545.99783767254,3351.1036558337,3.17304427252883,0.170185650141462,18.6446052877627,1.39681480208891e-77,1.60063172250639e-75
"LOC4339082",926.40661465223,940.113939196792,1004.93041019895,3163.60709956194,3106.41419294462,3569.65741955784,2118.5216126854,1.77525503178674,0.0956071749733966,18.5682197207555,5.80975169360232e-77,6.50478987786447e-75
"LOC107276997",45.9083328734904,58.0765367843578,45.9494006356842,1227.72586953803,726.407943174122,1252.2924047633,559.393414628164,4.42377341128873,0.23927562021255,18.4881911803596,2.5703252849896e-76,2.77595130778877e-74
"LOC4341576",21.1884613262264,15.7290620457636,24.6765299710156,693.722846345547,657.031903657493,1106.67700886059,419.837635367773,5.29627674718177,0.286645796172868,18.4767291824776,3.1787719945606e-76,3.41795008119978e-74
"LOC4328768",6417.74950836589,5744.73743025273,6001.50227191631,16117.2696243194,15359.0389602816,15423.7907560091,10844.0147585242,1.36852189093489,0.0743415343830434,18.4085774162745,1.12129378276323e-75,1.18993646302978e-73
"LOC4330886",97.7023494487104,67.7559595817508,87.6442271384347,685.063337861345,673.355677661405,664.630271298794,379.358637165073,2.99439032251711,0.162889149470652,18.382994399861,1.79765938019964e-75,1.891261644479e-73
"LOC4338846",83.5767085645595,90.7445887255591,95.3024605777154,716.814868970087,699.473716067666,882.013255182125,427.987599681285,3.08630351509716,0.168495227178288,18.3168601673891,6.07162815440148e-75,6.36035622285972e-73
"LOC4327536",10860.2635664314,10055.7103586416,12092.3506006242,32253.7826008258,33548.6203328417,33233.5937848812,22007.386874041,1.58484532020456,0.0865708927395903,18.3069074379521,7.28939346392259e-75,7.60339810544541e-73
"LOC4342138",2776.865570476,2648.53206293665,2654.85425895064,7941.73144762295,7148.18063631344,7143.47527899862,5052.27320921638,1.46037814874859,0.0800142462085091,18.2514766800776,2.01391237509016e-74,2.06536022063868e-72
"LOC4342187",24677.4946246116,19917.8322613354,18502.2919893022,95142.0197159317,86751.0645663945,103428.535489753,58069.8731078881,2.17700539364991,0.119361340301982,18.2387814022708,2.54059413616987e-74,2.59459504918972e-72
"LOC4332423",223.655980665723,152.450909058939,165.928391184415,1912.78920739937,2577.52391521784,3543.6546702895,1429.33384563597,3.8911345450785,0.21336312376529,18.237146496594,2.61772188048878e-74,2.66222315245708e-72
"LOC4342096",5963.37472659237,5130.09408261828,5551.36832865192,19385.7529933011,17379.1059932658,16771.7732780799,11696.9115670849,1.68541885499611,0.0925086957771858,18.2190316362861,3.64549299904311e-74,3.69208270210142e-72
"LOC4331935",4843.91768652341,4684.8406339382,3788.27280796419,20422.9696761867,17286.8766701437,20913.4911815413,11990.0614427162,2.13868420063206,0.11745573497171,18.2084272100223,4.42476214167541e-74,4.46279315512452e-72
"LOC107276612",57.6797002769495,31.4581240915272,51.0548895952047,667.74432089294,603.16344944458,779.042368079495,365.023808730116,3.85940402431968,0.212352067825133,18.1745535320042,8.20940284961444e-74,8.24588908450161e-72
"LOC4350749",579.151276250187,453.722943627796,563.305615200425,2227.41801565873,2187.38571652432,2113.50346053075,1354.0811712987,2.02997749170185,0.11299787302238,17.964740728348,3.67993368847124e-72,3.59279285872824e-70
"LOC4328230",177.747647792232,185.118961000141,204.219558380819,1281.60725566195,1654.41449529657,1177.40448687048,780.085400833699,2.85623782630736,0.159384666700241,17.9204053027206,8.17305027820204e-72,7.91618298374426e-70
"LOC4345544",138.902135360817,112.523290019693,82.5387381789142,962.167609355821,1093.69285826216,953.780843162746,557.267579056692,3.18647464939392,0.177996062782321,17.9019389506992,1.13886912418957e-71,1.09439045603225e-69
"LOC9271617",37.6683756910691,21.7787012941342,21.2728706646686,1009.31382221426,584.39110934008,947.540183338344,436.994177090425,4.99170848600063,0.27907874260237,17.8863801644427,1.50578042589933e-71,1.44129759354317e-69
"LOC4348152",3040.54420031348,2953.43388105453,2897.36498452786,6882.38490972219,6973.51625447157,6753.43403997351,4916.77971167719,1.21324665102063,0.067854812546641,17.8800383567,1.68720891475423e-71,1.60238891795024e-69
"LOC112937857",168.330553869465,203.267878745252,151.462839132441,1043.95185615107,956.573156629294,1113.95777865573,606.257343863874,2.58103862076939,0.145232182685605,17.7718090649148,1.16860588430018e-70,1.09284798559382e-68
"LOC9267814",14.1256408841509,8.46949494771885,3.40365930634698,5249.58647664536,4986.09676949518,8081.65447260036,3057.22275231319,9.5050923992753,0.537169733417484,17.6947653748168,4.60142830526613e-70,4.23817592735607e-68
"LOC4332923",3393.68522241725,3065.95717107422,3759.34170386024,15382.1735707715,14836.6781921564,20232.2191507107,10111.6758351651,2.30314175897231,0.131726163571304,17.4843151620794,1.88665908901345e-68,1.66846286393624e-66
"LOC9269178",638.008113267482,723.536854105125,695.19741332137,2060.00085163081,2164.53243291885,2224.79522739925,1417.67848210715,1.64842887343787,0.0948362529413158,17.3818431487156,1.13254259717322e-67,9.87253561135851e-66
"LOC4349149",574.442729288803,642.471688176959,530.119936963542,2013.81680638173,2033.94224088754,1965.80784468658,1293.43354106419,1.78675116409273,0.102891110378848,17.3654571081395,1.50694968807851e-67,1.30895473261994e-65
"LOC4340917",455.551918513867,464.612294274863,456.090347050495,1428.81889989339,1493.62532135803,1414.54956019775,952.208056881399,1.6566477149961,0.0963807409558248,17.1885762504712,3.23376310659866e-66,2.75977936733776e-64
"LOC4337598",5969.2604102941,5789.50476069067,6433.76700382237,16539.6612048266,17025.6962860811,15111.757764789,11144.9412384173,1.41963316708195,0.0827234161038176,17.1612009506512,5.18306986445441e-66,4.39265171012511e-64
"LOC4337100",1413.74122515544,1114.34354954987,1352.10365944634,5226.49445402082,5657.003881056,4681.5349782721,3240.87029125009,2.00360343626391,0.116872531154974,17.1434931413192,7.02976651115694e-66,5.93711214547816e-64
"LOC4327132",390.809397794842,423.474747385943,364.191545779127,1480.77595079861,1688.69442070479,1470.71549861736,969.776926846778,1.98097215025231,0.115705795155971,17.1207686493314,1.03894409868419e-65,8.71427751226244e-64
"LOC4352927",21.1884613262264,50.8169696863131,26.3783596241891,588.846576925763,877.402852710316,801.924787435635,394.426334618074,4.54599204634373,0.265979469797073,17.0915148068084,1.71656281411549e-65,1.42996126849593e-63
"LOC4332925",11302.8669808014,9224.4899259155,9061.39198832224,38510.7585644668,34998.1714643892,43560.8456842955,24443.0874346984,1.98433940650782,0.116146894628556,17.0847392248741,1.9280319545881e-65,1.59523403212157e-63
"LOC4327894",2655.62048622037,2851.7999416819,2233.6514197902,10300.0042581541,11226.6755711911,9156.08807236821,6403.97329156764,1.98782605655949,0.116356092551102,17.0839877223142,1.95303076460465e-65,1.61045861156994e-63
"LOC4333583",4761.5181146992,4260.15595870258,4560.05255567836,22657.1228651109,21353.1287745184,16164.3490551715,12292.7212206468,2.14750020761518,0.125721103497989,17.0814616469663,2.03945278766516e-65,1.67043502152118e-63
"LOC9270528",1047.65169890786,980.041558236039,958.981009563261,4039.17962407574,4151.95191789524,5463.6976762638,2773.58391415699,2.19299213360528,0.128530540771705,17.0620314863567,2.84487399280697e-65,2.2992610733918e-63
"LOC4325568",5168.80742685888,5062.33812303652,5387.99268194727,11819.2669133269,12093.4679707988,12886.9625373898,8736.47260889303,1.23602312139896,0.0728217829962556,16.9732608917653,1.29535039239911e-64,1.01990039927992e-62
"LOC4352300",7438.3270622458,7085.33748769166,7324.6748272587,16264.4812685508,16378.458646826,15401.9484466237,11648.8712898661,1.13686285891679,0.0671744921119378,16.92402611727,2.99255917157301e-64,2.34862971896315e-62
"LOC4346833",625.059609123677,382.337200497022,445.879369131454,3500.36576283648,3117.84083474736,4109.4744943686,2030.15954511743,2.88463437689227,0.170875341650032,16.8815134415372,6.15465513493279e-64,4.784166322721e-62
"LOC4348582",2081.17775693157,2296.44305868148,1989.43886455981,5540.16109467082,5838.19777249943,5634.27571146412,3896.6157098012,1.41898084569714,0.0846097640066392,16.7708876434852,3.98510831277307e-63,3.03017207782446e-61
"LOC4350268",75.3367513821381,85.9048773268626,88.4951419650214,880.383362560577,706.003225669231,619.905542557248,409.338150243513,3.13954513531885,0.187635197061738,16.7321759695535,7.63955288782248e-63,5.79087599024755e-61
"LOC4350388",15419.3141617911,11903.270185094,10795.556404906,54679.023072082,52580.5084440037,54158.5261761005,33256.0330739962,2.0824078576962,0.124632454525899,16.7083916112995,1.13865494419444e-62,8.60442411080432e-61
"LOC107277115",1595.02028316871,1532.97858553711,1359.76189288562,6325.28986390517,8846.66932142057,9624.13755919835,4880.64291768592,2.46665029051716,0.147824508551216,16.6863418975112,1.6476187987505e-62,1.24006880643761e-60
"LOC9272521",324.889740335471,339.989725758428,285.056466906559,1338.37514461395,1385.07222423201,1194.04624640222,811.238258041438,2.04911432786097,0.122802841782285,16.6862126162667,1.65118961853582e-62,1.24006880643761e-60
"LOC4345580",7876.22192965447,6738.08819483518,7849.68927526272,24401.532740873,20953.1963114225,23059.2380511647,15146.3277505354,1.60645379481764,0.0962840813687037,16.6845211792175,1.69862468325888e-62,1.26789086449488e-60
"LOC4351438",60.0339737576413,94.3743722745815,67.2222713003528,1062.23304072883,710.084169170209,1126.43909830453,520.064487589357,3.71432044868682,0.222678313282107,16.6802073984691,1.82583922969938e-62,1.35869158288117e-60
"LOC4333690",24988.2587240629,26092.0940782224,27388.3955233475,67474.890108905,71858.8855426248,62399.3174742231,46700.3069085643,1.36222207949998,0.0816836652472776,16.6767991541048,1.93302677963761e-62,1.43408260296033e-60
