"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_38",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,99,171,201,171,880,97,115,153,650,224,142,276,307,127,81,562,295
"ASV_39",31,24,46,69,143,116,39,30,64,28,63,81,0,0,46,59,24,27,121,430,290,293,161,297,221,203,199,297,137,269,180,173,175,156,172
"ASV_40",12,11,10,10,21,17,14,5,4,11,13,8,1,0,2,1,3,9,75,236,198,230,432,241,128,205,377,137,210,281,287,343,175,446,292
"ASV_41",25,34,47,18,47,58,24,14,37,27,32,42,0,11,12,45,10,17,168,227,176,211,225,501,265,151,329,325,296,401,126,381,135,137,176
"ASV_42",302,249,194,71,59,232,385,134,395,84,320,258,203,238,145,167,128,277,65,35,69,36,37,43,126,52,62,76,79,73,32,8,50,17,25
"ASV_43",147,125,128,92,62,55,228,95,150,189,210,292,110,82,104,108,77,122,82,34,73,169,28,344,82,268,123,31,75,175,258,59,129,10,68
"ASV_44",11,0,13,12,23,20,13,19,11,0,30,6,17,12,6,11,11,7,261,144,203,377,540,287,158,179,16,51,108,82,499,489,353,114,226
"ASV_45",150,364,275,601,39,31,227,155,234,0,79,0,125,693,475,0,339,25,20,14,27,13,0,50,114,0,0,38,0,0,30,30,0,0,54
"ASV_46",8,19,16,11,6,15,7,9,22,8,26,19,0,7,8,6,4,15,83,80,91,130,275,73,45,94,67,43,101,82,72,84,74,169,99
"ASV_47",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,220,254,164,320,305,341,259,242,228,108,196,360,250,311,171,75,255
"ASV_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,121,169,82,431,140,74,80,164,141,96,250,217,209,73,953,510
