"","Stock","Genus2","Phylum","Class","Annotation","variable","value","group"
"37","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11R4",0.011096753915731,"Root"
"38","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11R4",0,"Root"
"39","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11R4",0.000148422357645498,"Root"
"40","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11R4",0.0137596256264297,"Root"
"41","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11R4",0.160785066964675,"Root"
"42","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11R4",0.504452670729365,"Root"
"43","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11R4",0.284857427229391,"Root"
"44","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11R4",0.0157065777296618,"Root"
"45","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11R5",0.00020409109884503,"Root"
"46","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11R5",0,"Root"
"47","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11R5",0.00990769516211327,"Root"
"48","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11R5",0.00972215779952688,"Root"
"49","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11R5",3.71074725172782e-05,"Root"
"50","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11R5",4.63843406465977e-05,"Root"
"51","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11R5",0.0106498446124588,"Root"
"52","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11R5",0.0633888399276404,"Root"
"53","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11R5",0.448981863722807,"Root"
"54","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11R5",0.227570852080338,"Root"
"55","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11R5",0.229491163783107,"Root"
"56","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11R6",0.000428656627404205,"Root"
"57","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11R6",2.7955867004622e-05,"Root"
"58","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11R6",0.00700760399582526,"Root"
"59","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11R6",0.00924407335619502,"Root"
"60","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11R6",0,"Root"
"61","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11R6",0.000223646936036976,"Root"
"62","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11R6",0.00990569554197107,"Root"
"63","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11R6",0.110938198896675,"Root"
"64","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11R6",0.491426867451916,"Root"
"65","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11R6",0.225352243924258,"Root"
"66","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11R6",0.145445057402714,"Root"
"67","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11S1",0.00369267421083979,"Soil"
"68","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11S1",0.00218383958705579,"Soil"
"69","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11S1",0.00727284759446761,"Soil"
"70","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11S1",0.311614055985706,"Soil"
"71","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11S1",0.000198530871550526,"Soil"
"72","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11S1",0.00228310502283105,"Soil"
"73","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11S1",0.000377208655946,"Soil"
"74","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11S1",0.0147574614519224,"Soil"
"75","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11S1",0.188147706968434,"Soil"
"76","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11S1",0.442962080603534,"Soil"
"77","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11S1",0.0265104890477136,"Soil"
"78","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11S2",0.00332001905529701,"Soil"
"79","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11S2",0.00468320568727326,"Soil"
"80","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11S2",0.00580453662647953,"Soil"
"81","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11S2",0.238484370991975,"Soil"
"82","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11S2",0.00179559529480743,"Soil"
"83","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11S2",0.00236725420499102,"Soil"
"84","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11S2",0.00057898787057056,"Soil"
"85","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11S2",0.015889186118949,"Soil"
"86","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11S2",0.20096742277108,"Soil"
"87","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11S2",0.506841584521236,"Soil"
"88","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11S2",0.0192678368573418,"Soil"
"89","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11S3",0.00267524203756286,"Soil"
"90","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11S3",0.00214840409154665,"Soil"
"91","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11S3",0.00746467791043755,"Soil"
"92","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11S3",0.225322431665013,"Soil"
"93","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11S3",0.000225787691149807,"Soil"
"94","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11S3",0.00191577434914988,"Soil"
"95","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11S3",0.000403681023570867,"Soil"
"96","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11S3",0.0169751291437173,"Soil"
"97","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11S3",0.211569908658616,"Soil"
"98","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11S3",0.506756525606377,"Soil"
