"","o1_xgl_root_1","o1_xgl_root_2","o1_xgl_root_3","o1_xgl_soil_1","o1_xgl_soil_2","o1_xgl_soil_3","o2_xgl_root_1","o2_xgl_root_2","o2_xgl_root_3","o2_xgl_soil_1","o2_xgl_soil_2","o2_xgl_soil_3","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","XF1_1","XF1_2","XF1_3","XF2_1","XF2_2","XF2_3"
"ASV_729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,111,52,22,12,21,31
"ASV_730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,53,68,111
"ASV_731",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,11,0,241,0,0,0,0,0,0
"ASV_732",0,0,0,0,42,29,0,0,0,46,140,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_733",0,0,0,4,4,0,0,0,0,57,10,17,0,0,0,10,18,11,0,0,0,0,0,93,0,0,0,14,18,10
"ASV_734",0,0,0,0,0,0,0,0,0,15,0,0,5,24,57,13,13,0,32,37,55,0,0,15,0,0,0,0,0,0
"ASV_735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,66,26,9,25,50,56
"ASV_736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,80,13,19,32,29
"ASV_737",64,49,45,71,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_738",0,0,0,0,8,0,0,50,0,69,24,14,10,0,0,0,10,0,0,9,12,8,0,28,10,7,0,0,0,6
"ASV_739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,12,9,13,0,26,150,0,0,0,0,0,0
"ASV_740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,59,0,38,47,55
"ASV_741",0,26,0,0,0,0,0,30,19,39,0,23,0,0,0,0,16,0,0,0,0,21,0,90,0,0,0,0,0,0
"ASV_742",0,0,0,12,77,0,0,0,0,64,65,9,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,36,35,0,0,0,0,0,43,0,0,0,0,0,0
"ASV_744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,47,19,12,57,53,61
"ASV_745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,14,0,0,0,0,0,0,33,16,10,45,52,58
"ASV_746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,56,0,0,0,20,0,0,36,36,50
"ASV_747",0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_748",0,0,0,0,0,0,0,0,0,186,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,84,0,9,100,0,0,0,0,0,0
"ASV_750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,73,29,0,34,34,64
"ASV_751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,54,14,21,23,34
"ASV_752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,20,0,59,76,66
"ASV_753",0,0,12,0,0,0,0,0,177,30,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_754",0,0,0,0,0,0,0,22,0,152,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,19,10,47,48,80
"ASV_756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,83,74,83
"ASV_757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,52,71,103
"ASV_758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,16,7,45,64,45
"ASV_759",22,0,108,7,16,33,0,0,0,0,0,0,27,18,16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"ASV_760",0,0,0,0,14,129,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
"ASV_761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,89,14,38,13,30
"ASV_762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,75,92
"ASV_763",0,0,0,25,55,0,0,0,0,72,50,37,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"ASV_764",0,0,0,6,16,15,0,0,0,73,122,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,5,0,0,0,0,0,117,17,0,0,17,21,30
"ASV_766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,37,11,24,30,73
"ASV_767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,65,79,77
"ASV_768",0,38,172,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,46,27,0,52,47,53
"ASV_770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,13,0,0,0,0,0,0,0
"ASV_771",0,0,22,6,17,0,49,46,0,45,25,15,0,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0
"ASV_772",0,0,0,24,28,38,0,0,0,67,71,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,37,57,0,0,0,0,0,70,0,0,0,0,0,0
"ASV_774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,69,50,0,15,20
"ASV_775",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,50,27,130,0,0,0,0,0,0
"ASV_776",0,0,0,0,0,0,0,0,69,0,0,111,0,25,0,0,0,0,14,15,13,0,0,2,0,0,0,0,0,0
"ASV_777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,122,0,121,0,0,0,0,0,0
"ASV_778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,52,80,63
"ASV_779",145,0,0,0,0,45,0,0,0,0,0,0,13,18,14,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0
"ASV_780",3,0,0,28,38,68,0,0,0,55,37,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"ASV_781",0,0,0,35,0,19,0,0,0,0,37,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_782",0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,67,57,73
"ASV_783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,75,20,7,19,16
"ASV_784",0,0,0,0,5,0,0,0,0,17,0,0,8,4,11,48,35,37,0,0,0,0,0,40,40,0,0,0,0,0
"ASV_785",0,0,0,0,0,0,0,0,0,194,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0
"ASV_787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,27,16,44,54,51
"ASV_788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,15,40,67,56
"ASV_789",0,5,0,0,0,0,13,0,0,27,165,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,52,69,70
"ASV_791",0,0,23,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_792",0,0,0,0,0,29,0,0,0,156,10,15,0,0,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0
"ASV_793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0
"ASV_794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,19,0,45,49,78
"ASV_795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,103,75
"ASV_796",0,0,0,0,0,0,0,0,0,170,0,60,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"ASV_797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,46,0,36,54,44
"ASV_798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,84,53,87
"ASV_799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,73,40,112
"ASV_800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,81,98
"ASV_801",0,0,37,27,33,50,9,0,0,0,0,0,0,0,0,20,15,16,0,0,0,0,0,0,0,0,0,9,9,15
"ASV_802",0,0,0,18,29,39,0,0,0,73,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_803",0,0,0,0,0,24,0,0,0,33,158,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"ASV_804",0,0,0,0,0,0,0,0,0,0,0,0,13,36,15,0,0,0,22,53,77,24,0,0,0,0,0,0,0,0
"ASV_805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32,28,0,0,4,92,0,45,0,0,0,0,0,0
"ASV_806",0,0,0,17,29,46,0,0,0,24,63,16,0,0,0,9,18,0,0,0,0,0,0,17,0,0,0,0,0,0
"ASV_807",0,0,0,0,0,76,0,0,0,62,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0
"ASV_809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,40,13,0,45,46,60
"ASV_810",0,0,0,0,0,0,0,0,0,162,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_811",0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,105,47,36,0,0,0
"ASV_812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,39,26,23,31,35
"ASV_813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0
"ASV_814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,9,48,32,88
"ASV_815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,13,8,60,64,37,3,0,15,0
"ASV_816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,33,6,35,75,30
"ASV_817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,63,26,23,31,27
"ASV_818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,22,0,52,59,54
"ASV_819",0,0,0,0,0,23,0,0,0,38,154,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,24,150,0,0,0,0,0,0,0,0,15,0
"ASV_821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,58,0,0,0,42
"ASV_822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,38,55,86
"ASV_823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,83,93
"ASV_824",0,0,12,0,135,0,0,0,2,4,0,10,0,0,0,0,0,0,0,0,0,40,0,29,0,0,0,0,0,0
"ASV_825",0,0,0,0,0,0,0,0,0,14,76,0,0,0,0,47,25,40,0,0,0,0,10,20,0,0,0,0,0,0
"ASV_826",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0
"ASV_827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,60,21,13,4,36,36,39
"ASV_828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,31,24,34,40,36
"ASV_829",0,0,0,28,17,42,0,0,0,59,54,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_830",0,0,0,0,0,0,0,14,0,162,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,83,65,25,0,13,15
"ASV_832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,50,72,82
"ASV_833",0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,46,0,0,20,0,0,0,0,0,0,0
"ASV_834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,0,39,63,89
"ASV_835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,6,35,67,76
"ASV_836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,70,58,72
"ASV_837",0,0,8,0,28,23,0,38,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,23,7,54,54,56
"ASV_839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,21,0,43,55,69
"ASV_840",0,0,0,6,8,16,0,0,0,57,99,25,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"ASV_841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,0,0,0,0,15,0,157,0,0,0,0,0,0
"ASV_842",0,0,0,0,0,0,0,0,22,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,33,0,0,57,52,66
"ASV_844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26,0,40,47,67
"ASV_845",0,0,0,23,0,20,0,0,0,104,35,9,0,0,0,0,0,0,0,0,0,16,7,11,0,0,0,0,0,0
"ASV_846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,29,0,0,0,0,46,55,0,0,0,0,0,0
"ASV_847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,83,63,0,0,35,26
"ASV_848",0,0,0,0,21,0,0,0,0,54,36,34,0,0,0,15,15,0,0,0,0,8,0,41,0,0,0,0,0,0
"ASV_849",0,0,0,0,0,0,16,0,0,23,82,0,0,0,0,0,8,0,13,0,47,8,0,27,0,0,0,0,0,0
"ASV_850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,16,0,48,62,43
"ASV_851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,42,87
"ASV_852",41,0,0,0,0,49,31,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
"ASV_853",0,0,0,0,0,0,0,0,0,49,154,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,32,0,0,77,54,51
"ASV_855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,13,9,47,53,44
"ASV_856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24,0,36,42,92
"ASV_857",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,30,31,23,0,0,0,9,6,89,7,0,0,0,0,8
"ASV_858",0,0,0,0,0,0,0,0,0,0,0,0,48,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_859",0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,0,0,0,60,41,60,0,0,10,0,0,0,0,11,0
"ASV_860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,59,0,0,30,30
"ASV_861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,30,0,37,47,54
"ASV_862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,38,7,44,34,53
"ASV_863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,45,0,23,61,49
"ASV_864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24,0,53,52,64
"ASV_865",14,0,6,55,19,34,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
"ASV_866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,53,17,18,21,15
"ASV_867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,16,11,42,39,66
"ASV_868",0,0,0,0,0,0,5,0,0,23,0,26,0,0,0,0,52,0,0,0,0,0,84,29,0,0,0,0,0,0
"ASV_869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,28,0,157,0,0,0,0,0,0
"ASV_870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,41,9,29,52,29
"ASV_871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,0,49,53,66
"ASV_872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,30,0,0,49,52
"ASV_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,22,10,40,48,63
"ASV_874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,147,20,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,51,41,13,17,43,25
"ASV_876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,61,23,0,12,11
"ASV_877",14,0,0,0,0,0,0,129,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,70,20,0,0,41,21,53
"ASV_879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,13,0,45,66,59
"ASV_880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,84,30,0,28,35,28
"ASV_881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,17,18,39,28
"ASV_882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,44,59,81
"ASV_883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,50,88
"ASV_884",0,0,0,15,24,0,0,0,0,60,84,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_885",0,0,0,0,0,16,0,45,20,69,0,39,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"ASV_886",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,27,28,0,0,0,7,0,0,143,0,0,0,0,0,0
"ASV_887",0,0,0,0,12,130,0,0,0,14,0,0,0,0,0,0,9,8,9,0,0,17,0,14,0,0,0,0,0,0
"ASV_888",0,0,0,0,0,0,0,0,69,0,0,111,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0
"ASV_889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0
"ASV_890",0,0,0,24,14,44,0,0,0,0,61,0,0,0,0,4,23,0,0,0,0,24,0,18,0,0,0,0,0,0
"ASV_891",0,0,0,0,8,20,0,0,0,13,0,0,0,0,0,0,41,0,0,0,0,0,12,118,0,0,0,0,0,0
"ASV_892",0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,48,21,27,24,37
"ASV_894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,65,84
"ASV_895",0,0,0,0,0,0,0,0,0,139,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_896",0,0,0,0,0,0,0,0,0,0,155,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,32,9,32,40,56
"ASV_898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,44,50,73
"ASV_899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,56,85
"ASV_900",0,0,0,14,0,0,0,0,0,34,134,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,28,0,33,34,36
"ASV_902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,34,11,30,44,31
"ASV_903",0,0,0,0,195,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_904",0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,121,0,0,0,0,0,0
"ASV_905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,44,14,22,32,29
"ASV_906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,34,14,27,19,47
"ASV_907",0,0,0,19,0,0,18,0,0,138,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_908",0,0,0,10,19,21,0,0,0,28,99,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_909",0,0,0,0,38,0,0,17,0,122,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_910",0,0,0,0,0,0,0,0,0,0,0,0,0,175,7,0,0,0,0,0,0,0,0,0,11,4,0,0,8,0
"ASV_911",0,0,0,0,0,0,0,0,0,0,0,0,0,62,25,0,0,0,30,43,45,0,0,0,0,0,0,0,0,0
"ASV_912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,41,0,0,41,44
"ASV_913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,19,0,42,40,65
"ASV_914",0,0,0,0,0,21,0,0,0,19,0,0,0,0,0,0,15,0,0,0,0,24,49,73,0,0,0,3,0,0
"ASV_915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,54,0,0,70,0,0,0,0,42,32
"ASV_916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,81,25,0,5,27,0,43
"ASV_917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,54,31,14,0,45,29
"ASV_918",12,73,84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,21,0,0,0,0
"ASV_919",0,0,0,0,0,62,0,0,0,55,48,0,0,0,0,0,10,0,0,0,0,0,0,27,0,0,0,0,0,0
"ASV_920",0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,12,0,34,0,0,0,0,0,0
"ASV_921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,33,0,39,27,27
"ASV_922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,3,39,51,74
"ASV_923",0,0,0,21,45,26,0,0,0,23,53,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,8,0,172,0,0,0,0,0,0
"ASV_925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,42,92
"ASV_926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,17,7,0,27,0,0,113,0,0,0,0,0,0
"ASV_927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,145,0,0,0,0,0,0
"ASV_928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,52,73
"ASV_929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,52,99
"ASV_930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,43,26,0,0,45
"ASV_931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,53,27,45
"ASV_932",0,0,0,0,0,13,0,0,0,9,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
