"","o1_xgl_root_1","o1_xgl_root_2","o1_xgl_root_3","o1_xgl_soil_1","o1_xgl_soil_2","o1_xgl_soil_3","o2_xgl_root_1","o2_xgl_root_2","o2_xgl_root_3","o2_xgl_soil_1","o2_xgl_soil_2","o2_xgl_soil_3","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","XF1_1","XF1_2","XF1_3","XF2_1","XF2_2","XF2_3"
"ASV_41",0,0,0,0,38,0,0,0,0,0,0,0,266,29,1203,2150,640,572,502,25,0,0,59,0,0,0,0,0,0,0
"ASV_42",18,20,33,179,296,214,23,40,23,1082,1214,297,0,22,19,160,176,116,0,0,0,359,123,837,0,0,0,0,0,0
"ASV_43",0,24,36,0,16,0,9,21,0,0,0,0,793,1028,980,136,90,99,403,669,403,17,38,138,38,0,10,79,89,133
"ASV_44",12,0,0,9,0,0,28,0,0,0,0,0,0,0,8,257,1088,303,0,0,0,704,321,2515,0,0,0,0,0,0
"ASV_45",0,0,0,0,0,0,0,0,0,0,0,0,44,78,20,13,20,9,559,48,4065,0,49,52,0,0,0,0,0,0
"ASV_46",272,131,49,79,67,113,193,1145,904,125,846,33,0,0,0,0,0,3,75,376,435,0,0,59,0,0,0,0,0,0
"ASV_47",18,42,15,0,74,164,89,344,29,482,0,30,35,79,38,74,105,34,73,184,140,822,187,1485,0,0,0,26,27,30
"ASV_48",0,0,0,0,0,0,0,0,0,0,0,0,1708,1106,585,92,64,0,187,133,562,0,0,105,0,0,0,0,0,0
"ASV_49",132,118,299,0,0,5,1780,1600,86,51,128,0,0,0,0,0,0,0,198,16,0,0,24,0,0,0,0,0,0,0
"ASV_50",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,21,10,484,3109,801,0,0,0,0,0,0
"ASV_51",0,0,0,0,0,0,32,82,0,3922,0,0,0,0,0,0,0,0,0,0,0,25,0,151,0,0,0,0,0,0
"ASV_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,219,80,23,0,0,685,538,2501,0,0,0,0,0,0
"ASV_53",0,0,0,0,0,0,0,0,0,0,0,0,174,101,0,0,0,0,373,711,2714,0,39,0,0,0,0,0,0,0
"ASV_54",0,0,0,0,0,37,0,0,0,0,0,0,114,118,232,115,83,149,394,344,804,91,93,838,199,80,36,79,66,95
"ASV_55",0,0,0,280,33,77,0,8,0,489,741,123,29,13,17,0,0,0,0,10,8,0,0,15,0,0,0,606,555,959
"ASV_56",537,0,2386,0,327,132,0,0,0,0,0,0,18,76,31,0,0,0,202,74,105,0,32,0,0,0,0,0,0,0
