"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_11887","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae",NA
"ASV_11888","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"ASV_11889","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azomonas"
"ASV_11890","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_11891","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae",NA
"ASV_11892","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"ASV_11893","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"ASV_11894","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA
"ASV_11895","Bacteria",NA,NA,NA,NA,NA
"ASV_11896","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_11897","Bacteria",NA,NA,NA,NA,NA
"ASV_11898","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","GOUTB8"
"ASV_11899","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA
"ASV_11900","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"ASV_11901","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"ASV_11902","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae",NA
"ASV_11903","Bacteria",NA,NA,NA,NA,NA
"ASV_11904","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"ASV_11905","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
"ASV_11906","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Mangrovibacterium"
"ASV_11907","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"ASV_11908","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_11909","Bacteria",NA,NA,NA,NA,NA
"ASV_11910","Bacteria","Proteobacteria",NA,NA,NA,NA
"ASV_11911","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA
"ASV_11912","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_10"
"ASV_11913","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_11914","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_11915","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ASV_11916","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"ASV_11917","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
"ASV_11918","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
