geno,variable,value,group,
fls2,Geobacter,0.12269575,fls2_soil,Keep
fls2,Geobacter,0.17248533,fls2_soil,Keep
Kitaake,Pseudomonadaceae,0.062888981,fls2_root,Family
Kitaake,Pseudomonadaceae,0.184843815,fls2_root,Family
Kitaake,Pseudomonadaceae,0.099104973,fls2_root,Family
Kitaake,Pseudomonadaceae,0.092762729,fls2_root,Family
Kitaake,Pseudomonadaceae,0.114930947,fls2_root,Family
Kitaake,Pseudomonadaceae,0.096822951,fls2_root,Family
fls2,Pseudomonadaceae,0.052279059,fls2_root,Family
fls2,Pseudomonadaceae,0.050678679,fls2_root,Family
fls2,Pseudomonadaceae,0.063096438,fls2_root,Family
fls2,Pseudomonadaceae,0.108203426,fls2_root,Family
fls2,Pseudomonadaceae,0.019234189,fls2_root,Family
fls2,Pseudomonadaceae,0.044929168,fls2_root,Family
Kitaake,Enterobacteriaceae,0.00823899,fls2_root,Family
Kitaake,Enterobacteriaceae,0.017070713,fls2_root,Family
Kitaake,Enterobacteriaceae,0.007290617,fls2_root,Family
Kitaake,Enterobacteriaceae,0.006549701,fls2_root,Family
Kitaake,Enterobacteriaceae,0.011024836,fls2_root,Family
Kitaake,Enterobacteriaceae,0.027650999,fls2_root,Family
fls2,Enterobacteriaceae,0.005067868,fls2_root,Family
fls2,Enterobacteriaceae,0.003052575,fls2_root,Family
fls2,Enterobacteriaceae,0.008001897,fls2_root,Family
fls2,Enterobacteriaceae,0.00734989,fls2_root,Family
fls2,Enterobacteriaceae,0.001333649,fls2_root,Family
fls2,Enterobacteriaceae,0.005423508,fls2_root,Family
Kitaake,Rhodocyclaceae,0.263499496,fls2_root,Family
Kitaake,Rhodocyclaceae,0.297226009,fls2_root,Family
Kitaake,Rhodocyclaceae,0.255764329,fls2_root,Family
Kitaake,Rhodocyclaceae,0.446209472,fls2_root,Family
Kitaake,Rhodocyclaceae,0.29482544,fls2_root,Family
Kitaake,Rhodocyclaceae,0.168810385,fls2_root,Family
fls2,Rhodocyclaceae,0.480439808,fls2_root,Family
fls2,Rhodocyclaceae,0.315867465,fls2_root,Family
fls2,Rhodocyclaceae,0.320579693,fls2_root,Family
fls2,Rhodocyclaceae,0.339843518,fls2_root,Family
fls2,Rhodocyclaceae,0.481269634,fls2_root,Family
fls2,Rhodocyclaceae,0.411445676,fls2_root,Family
Kitaake,Bacillaceae,0.054649991,fls2_soil,Family
Kitaake,Bacillaceae,0.045551538,fls2_soil,Family
Kitaake,Bacillaceae,0.074921463,fls2_soil,Family
Kitaake,Bacillaceae,0.057732203,fls2_soil,Family
Kitaake,Bacillaceae,0.04119495,fls2_soil,Family
Kitaake,Bacillaceae,0.069764685,fls2_soil,Family
fls2,Bacillaceae,0.034200699,fls2_soil,Family
fls2,Bacillaceae,0.059243673,fls2_soil,Family
fls2,Bacillaceae,0.035978899,fls2_soil,Family
fls2,Bacillaceae,0.030733211,fls2_soil,Family
fls2,Bacillaceae,0.036630905,fls2_soil,Family
Kitaake,Pseudomonadaceae,0.036364175,fls2_soil,Family
Kitaake,Pseudomonadaceae,0.02373896,fls2_soil,Family
Kitaake,Pseudomonadaceae,0.035534349,fls2_soil,Family
Kitaake,Pseudomonadaceae,0.025013336,fls2_soil,Family
Kitaake,Pseudomonadaceae,0.014344141,fls2_soil,Family
Kitaake,Pseudomonadaceae,0.02418351,fls2_soil,Family
fls2,Pseudomonadaceae,0.013395768,fls2_soil,Family
fls2,Pseudomonadaceae,0.021397665,fls2_soil,Family
fls2,Pseudomonadaceae,0.017989449,fls2_soil,Family
fls2,Pseudomonadaceae,0.012002845,fls2_soil,Family
fls2,Pseudomonadaceae,0.010728469,fls2_soil,Family
Kitaake,Geobacteraceae,0.120028451,fls2_soil,Family
Kitaake,Geobacteraceae,0.089413787,fls2_soil,Family
Kitaake,Geobacteraceae,0.058947306,fls2_soil,Family
Kitaake,Geobacteraceae,0.111107818,fls2_soil,Family
Kitaake,Geobacteraceae,0.124266493,fls2_soil,Family
Kitaake,Geobacteraceae,0.091932903,fls2_soil,Family
fls2,Geobacteraceae,0.170351491,fls2_soil,Family
fls2,Geobacteraceae,0.13209057,fls2_soil,Family
fls2,Geobacteraceae,0.098482603,fls2_soil,Family
fls2,Geobacteraceae,0.12269575,fls2_soil,Family
fls2,Geobacteraceae,0.17248533,fls2_soil,Family
cerk1,Rhodocyclaceae.g_,0.004801138,cerk1_soil,Family
cerk1,Rhodocyclaceae.g_,0.015173967,cerk1_soil,Family
cerk1,Rhodocyclaceae.g_,0.036660542,cerk1_soil,Family
cerk1,Rhodocyclaceae.g_,0.012506668,cerk1_soil,Family
cerk1,Rhodocyclaceae.g_,0.00779444,cerk1_soil,Family
cerk1,Rhodocyclaceae.g_,0.005601328,cerk1_soil,Family
Kitaake,Rhodocyclaceae.g_,0.005038231,cerk1_soil,Family
Kitaake,Rhodocyclaceae.g_,0.00841681,cerk1_soil,Family
Kitaake,Rhodocyclaceae.g_,0.001244739,cerk1_soil,Family
Kitaake,Rhodocyclaceae.g_,0.004652955,cerk1_soil,Family
Kitaake,Rhodocyclaceae.g_,0.006105151,cerk1_soil,Family
Kitaake,Rhodocyclaceae.g_,0.004326952,cerk1_soil,Family
cerk1,Prolixibacteraceae,0.31998696,cerk1_soil,Family
cerk1,Prolixibacteraceae,0.184547448,cerk1_soil,Family
cerk1,Prolixibacteraceae,0.196283564,cerk1_soil,Family
cerk1,Prolixibacteraceae,0.186651651,cerk1_soil,Family
cerk1,Prolixibacteraceae,0.195661194,cerk1_soil,Family
cerk1,Prolixibacteraceae,0.147827633,cerk1_soil,Family
Kitaake,Prolixibacteraceae,0.181672693,cerk1_soil,Family
Kitaake,Prolixibacteraceae,0.118428072,cerk1_soil,Family
Kitaake,Prolixibacteraceae,0.084790469,cerk1_soil,Family
Kitaake,Prolixibacteraceae,0.111078181,cerk1_soil,Family
Kitaake,Prolixibacteraceae,0.191097149,cerk1_soil,Family
Kitaake,Prolixibacteraceae,0.089769427,cerk1_soil,Family
