geno,variable,value,group,
Kitaake,Massilia,0.019678739,fls2_root,ALL
Kitaake,Massilia,0.0166558,fls2_root,ALL
fls2,Massilia,0.013840318,fls2_root,ALL
fls2,Massilia,0.00859463,fls2_root,ALL
fls2,Massilia,0.011439749,fls2_root,ALL
fls2,Massilia,0.018404363,fls2_root,ALL
fls2,Massilia,0.006608974,fls2_root,ALL
fls2,Massilia,0.017604173,fls2_root,ALL
Kitaake,Firmicutes,0.016448343,fls2_root,ALL
Kitaake,Firmicutes,0.014610871,fls2_root,ALL
Kitaake,Firmicutes,0.023531504,fls2_root,ALL
Kitaake,Firmicutes,0.018137633,fls2_root,ALL
Kitaake,Firmicutes,0.015114694,fls2_root,ALL
Kitaake,Firmicutes,0.02489479,fls2_root,ALL
fls2,Firmicutes,0.004682591,fls2_root,ALL
fls2,Firmicutes,0.008446447,fls2_root,ALL
fls2,Firmicutes,0.013514315,fls2_root,ALL
fls2,Firmicutes,0.021397665,fls2_root,ALL
fls2,Firmicutes,0.006312607,fls2_root,ALL
fls2,Firmicutes,0.012358485,fls2_root,ALL
Kitaake,Proteobacteria,0.956819394,fls2_root,ALL
Kitaake,Proteobacteria,0.970126252,fls2_root,ALL
Kitaake,Proteobacteria,0.954152095,fls2_root,ALL
Kitaake,Proteobacteria,0.960109063,fls2_root,ALL
Kitaake,Proteobacteria,0.975401577,fls2_root,ALL
Kitaake,Proteobacteria,0.961946535,fls2_root,ALL
fls2,Proteobacteria,0.988915891,fls2_root,ALL
fls2,Proteobacteria,0.963487642,fls2_root,ALL
fls2,Proteobacteria,0.979313615,fls2_root,ALL
fls2,Proteobacteria,0.963309822,fls2_root,ALL
fls2,Proteobacteria,0.990130994,fls2_root,ALL
fls2,Proteobacteria,0.981566001,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.908096734,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.928071839,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.896360619,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.928723846,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.932013514,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.917847193,fls2_root,ALL
fls2,Gammaproteobacteria,0.952373896,fls2_root,ALL
fls2,Gammaproteobacteria,0.928605299,fls2_root,ALL
fls2,Gammaproteobacteria,0.955159742,fls2_root,ALL
fls2,Gammaproteobacteria,0.920307036,fls2_root,ALL
fls2,Gammaproteobacteria,0.960316519,fls2_root,ALL
fls2,Gammaproteobacteria,0.945764922,fls2_root,ALL
Kitaake,Methylibium,0.047566831,fls2_root,ALL
Kitaake,Methylibium,0.031829767,fls2_root,ALL
Kitaake,Methylibium,0.058917669,fls2_root,ALL
Kitaake,Methylibium,0.038231284,fls2_root,ALL
Kitaake,Methylibium,0.071513248,fls2_root,ALL
Kitaake,Methylibium,0.030051568,fls2_root,ALL
fls2,Methylibium,0.087517041,fls2_root,ALL
fls2,Methylibium,0.053849801,fls2_root,ALL
fls2,Methylibium,0.145753067,fls2_root,ALL
fls2,Methylibium,0.090836346,fls2_root,ALL
fls2,Methylibium,0.093888922,fls2_root,ALL
fls2,Methylibium,0.093207279,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.836168573,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.725801672,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.789075929,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.829292869,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.806057732,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.793373244,fls2_root,ALL
fls2,Betaproteobacteriales,0.894760239,fls2_root,ALL
fls2,Betaproteobacteriales,0.874755498,fls2_root,ALL
fls2,Betaproteobacteriales,0.884061407,fls2_root,ALL
fls2,Betaproteobacteriales,0.804694446,fls2_root,ALL
fls2,Betaproteobacteriales,0.939748681,fls2_root,ALL
fls2,Betaproteobacteriales,0.895412246,fls2_root,ALL
Kitaake,Rhodocyclaceae,0.263499496,fls2_root,ALL
Kitaake,Rhodocyclaceae,0.297226009,fls2_root,ALL
Kitaake,Rhodocyclaceae,0.255764329,fls2_root,ALL
Kitaake,Rhodocyclaceae,0.446209472,fls2_root,ALL
Kitaake,Rhodocyclaceae,0.29482544,fls2_root,ALL
Kitaake,Rhodocyclaceae,0.168810385,fls2_root,ALL
fls2,Rhodocyclaceae,0.480439808,fls2_root,ALL
fls2,Rhodocyclaceae,0.315867465,fls2_root,ALL
fls2,Rhodocyclaceae,0.320579693,fls2_root,ALL
fls2,Rhodocyclaceae,0.339843518,fls2_root,ALL
fls2,Rhodocyclaceae,0.481269634,fls2_root,ALL
fls2,Rhodocyclaceae,0.411445676,fls2_root,ALL
Kitaake,Bacillaceae,0.054649991,fls2_soil,ALL
Kitaake,Bacillaceae,0.045551538,fls2_soil,ALL
Kitaake,Bacillaceae,0.074921463,fls2_soil,ALL
Kitaake,Bacillaceae,0.057732203,fls2_soil,ALL
Kitaake,Bacillaceae,0.04119495,fls2_soil,ALL
Kitaake,Bacillaceae,0.069764685,fls2_soil,ALL
fls2,Bacillaceae,0.034200699,fls2_soil,ALL
fls2,Bacillaceae,0.059243673,fls2_soil,ALL
fls2,Bacillaceae,0.035978899,fls2_soil,ALL
fls2,Bacillaceae,0.030733211,fls2_soil,ALL
fls2,Bacillaceae,0.036630905,fls2_soil,ALL
Kitaake,Bacillus,0.054649991,fls2_soil,ALL
Kitaake,Bacillus,0.045551538,fls2_soil,ALL
Kitaake,Bacillus,0.074921463,fls2_soil,ALL
Kitaake,Bacillus,0.057732203,fls2_soil,ALL
Kitaake,Bacillus,0.04119495,fls2_soil,ALL
Kitaake,Bacillus,0.069764685,fls2_soil,ALL
fls2,Bacillus,0.034200699,fls2_soil,ALL
fls2,Bacillus,0.059243673,fls2_soil,ALL
fls2,Bacillus,0.035978899,fls2_soil,ALL
fls2,Bacillus,0.030733211,fls2_soil,ALL
fls2,Bacillus,0.036630905,fls2_soil,ALL
Kitaake,Bacillales,0.062592615,fls2_soil,ALL
Kitaake,Bacillales,0.052338332,fls2_soil,ALL
Kitaake,Bacillales,0.086450122,fls2_soil,ALL
Kitaake,Bacillales,0.06440045,fls2_soil,ALL
Kitaake,Bacillales,0.04961176,fls2_soil,ALL
Kitaake,Bacillales,0.079337324,fls2_soil,ALL
fls2,Bacillales,0.042439689,fls2_soil,ALL
fls2,Bacillales,0.070742695,fls2_soil,ALL
fls2,Bacillales,0.043239879,fls2_soil,ALL
fls2,Bacillales,0.044010432,fls2_soil,ALL
fls2,Bacillales,0.046529548,fls2_soil,ALL
Kitaake,Bacilli,0.063629897,fls2_soil,ALL
Kitaake,Bacilli,0.052545789,fls2_soil,ALL
Kitaake,Bacilli,0.086805761,fls2_soil,ALL
Kitaake,Bacilli,0.064637544,fls2_soil,ALL
Kitaake,Bacilli,0.05014522,fls2_soil,ALL
Kitaake,Bacilli,0.079426234,fls2_soil,ALL
fls2,Bacilli,0.043328789,fls2_soil,ALL
fls2,Bacilli,0.071365064,fls2_soil,ALL
fls2,Bacilli,0.043684429,fls2_soil,ALL
fls2,Bacilli,0.044425345,fls2_soil,ALL
fls2,Bacilli,0.047774287,fls2_soil,ALL
Kitaake,Pseudomonadaceae,0.036364175,fls2_soil,ALL
Kitaake,Pseudomonadaceae,0.02373896,fls2_soil,ALL
Kitaake,Pseudomonadaceae,0.035534349,fls2_soil,ALL
Kitaake,Pseudomonadaceae,0.025013336,fls2_soil,ALL
Kitaake,Pseudomonadaceae,0.014344141,fls2_soil,ALL
Kitaake,Pseudomonadaceae,0.02418351,fls2_soil,ALL
fls2,Pseudomonadaceae,0.013395768,fls2_soil,ALL
fls2,Pseudomonadaceae,0.021397665,fls2_soil,ALL
fls2,Pseudomonadaceae,0.017989449,fls2_soil,ALL
fls2,Pseudomonadaceae,0.012002845,fls2_soil,ALL
fls2,Pseudomonadaceae,0.010728469,fls2_soil,ALL
Kitaake,Pseudomonadales,0.036364175,fls2_soil,ALL
Kitaake,Pseudomonadales,0.02373896,fls2_soil,ALL
Kitaake,Pseudomonadales,0.035534349,fls2_soil,ALL
Kitaake,Pseudomonadales,0.025013336,fls2_soil,ALL
Kitaake,Pseudomonadales,0.014344141,fls2_soil,ALL
Kitaake,Pseudomonadales,0.02418351,fls2_soil,ALL
fls2,Pseudomonadales,0.013395768,fls2_soil,ALL
fls2,Pseudomonadales,0.021397665,fls2_soil,ALL
fls2,Pseudomonadales,0.017989449,fls2_soil,ALL
fls2,Pseudomonadales,0.012002845,fls2_soil,ALL
fls2,Pseudomonadales,0.010728469,fls2_soil,ALL
Kitaake,Desulfuromonadales,0.121569557,fls2_soil,ALL
Kitaake,Desulfuromonadales,0.09045107,fls2_soil,ALL
Kitaake,Desulfuromonadales,0.058947306,fls2_soil,ALL
Kitaake,Desulfuromonadales,0.111463458,fls2_soil,ALL
Kitaake,Desulfuromonadales,0.124385039,fls2_soil,ALL
Kitaake,Desulfuromonadales,0.091932903,fls2_soil,ALL
fls2,Desulfuromonadales,0.170558947,fls2_soil,ALL
fls2,Desulfuromonadales,0.133187126,fls2_soil,ALL
fls2,Desulfuromonadales,0.098482603,fls2_soil,ALL
fls2,Desulfuromonadales,0.12269575,fls2_soil,ALL
fls2,Desulfuromonadales,0.17292988,fls2_soil,ALL
Kitaake,Malikia,0.010787742,fls2_soil,ALL
Kitaake,Malikia,0.04048367,fls2_soil,ALL
Kitaake,Malikia,0,fls2_soil,ALL
Kitaake,Malikia,0.010698832,fls2_soil,ALL
Kitaake,Malikia,0.061377512,fls2_soil,ALL
Kitaake,Malikia,0.023146227,fls2_soil,ALL
fls2,Malikia,0.080285697,fls2_soil,ALL
fls2,Malikia,0.019767649,fls2_soil,ALL
fls2,Malikia,0.077410942,fls2_soil,ALL
fls2,Malikia,0.068253216,fls2_soil,ALL
fls2,Malikia,0.04881157,fls2_soil,ALL
Kitaake,Geobacteraceae,0.120028451,fls2_soil,ALL
Kitaake,Geobacteraceae,0.089413787,fls2_soil,ALL
Kitaake,Geobacteraceae,0.058947306,fls2_soil,ALL
Kitaake,Geobacteraceae,0.111107818,fls2_soil,ALL
Kitaake,Geobacteraceae,0.124266493,fls2_soil,ALL
Kitaake,Geobacteraceae,0.091932903,fls2_soil,ALL
fls2,Geobacteraceae,0.170351491,fls2_soil,ALL
fls2,Geobacteraceae,0.13209057,fls2_soil,ALL
fls2,Geobacteraceae,0.098482603,fls2_soil,ALL
fls2,Geobacteraceae,0.12269575,fls2_soil,ALL
fls2,Geobacteraceae,0.17248533,fls2_soil,ALL
Kitaake,Geobacter,0.120028451,fls2_soil,ALL
Kitaake,Geobacter,0.089413787,fls2_soil,ALL
Kitaake,Geobacter,0.058947306,fls2_soil,ALL
Kitaake,Geobacter,0.111107818,fls2_soil,ALL
Kitaake,Geobacter,0.124266493,fls2_soil,ALL
Kitaake,Geobacter,0.091932903,fls2_soil,ALL
fls2,Geobacter,0.170351491,fls2_soil,ALL
fls2,Geobacter,0.13209057,fls2_soil,ALL
fls2,Geobacter,0.098482603,fls2_soil,ALL
fls2,Geobacter,0.12269575,fls2_soil,ALL
fls2,Geobacter,0.17248533,fls2_soil,ALL
cerk1,Prolixibacteraceae,0.31998696,cerk1_soil,Keep
cerk1,Prolixibacteraceae,0.184547448,cerk1_soil,Keep
cerk1,Prolixibacteraceae,0.196283564,cerk1_soil,Keep
cerk1,Prolixibacteraceae,0.186651651,cerk1_soil,Keep
cerk1,Prolixibacteraceae,0.195661194,cerk1_soil,Keep
cerk1,Prolixibacteraceae,0.147827633,cerk1_soil,Keep
Kitaake,Prolixibacteraceae,0.181672693,cerk1_soil,Keep
Kitaake,Prolixibacteraceae,0.118428072,cerk1_soil,Keep
Kitaake,Prolixibacteraceae,0.084790469,cerk1_soil,Keep
Kitaake,Prolixibacteraceae,0.111078181,cerk1_soil,Keep
Kitaake,Prolixibacteraceae,0.191097149,cerk1_soil,Keep
Kitaake,Prolixibacteraceae,0.089769427,cerk1_soil,Keep
cerk1,WCHB1.32,0.31103669,cerk1_soil,Keep
cerk1,WCHB1.32,0.177819928,cerk1_soil,Keep
cerk1,WCHB1.32,0.184251082,cerk1_soil,Keep
cerk1,WCHB1.32,0.177849564,cerk1_soil,Keep
cerk1,WCHB1.32,0.186918381,cerk1_soil,Keep
cerk1,WCHB1.32,0.141396479,cerk1_soil,Keep
Kitaake,WCHB1.32,0.172544603,cerk1_soil,Keep
Kitaake,WCHB1.32,0.111078181,cerk1_soil,Keep
Kitaake,WCHB1.32,0.07388418,cerk1_soil,Keep
Kitaake,WCHB1.32,0.099875526,cerk1_soil,Keep
Kitaake,WCHB1.32,0.182295063,cerk1_soil,Keep
Kitaake,WCHB1.32,0.077440579,cerk1_soil,Keep
Kitaake,Pseudomonadaceae,0.062888981,fls2_root,Keep
Kitaake,Pseudomonadaceae,0.184843815,fls2_root,Keep
Kitaake,Pseudomonadaceae,0.099104973,fls2_root,Keep
Kitaake,Pseudomonadaceae,0.092762729,fls2_root,Keep
Kitaake,Pseudomonadaceae,0.114930947,fls2_root,Keep
Kitaake,Pseudomonadaceae,0.096822951,fls2_root,Keep
fls2,Pseudomonadaceae,0.052279059,fls2_root,Keep
fls2,Pseudomonadaceae,0.050678679,fls2_root,Keep
fls2,Pseudomonadaceae,0.063096438,fls2_root,Keep
fls2,Pseudomonadaceae,0.108203426,fls2_root,Keep
fls2,Pseudomonadaceae,0.019234189,fls2_root,Keep
fls2,Pseudomonadaceae,0.044929168,fls2_root,Keep
Kitaake,Pseudomonas,0.060932962,fls2_root,Keep
Kitaake,Pseudomonas,0.166261632,fls2_root,Keep
Kitaake,Pseudomonas,0.092169996,fls2_root,Keep
Kitaake,Pseudomonas,0.084257009,fls2_root,Keep
Kitaake,Pseudomonas,0.100912809,fls2_root,Keep
Kitaake,Pseudomonas,0.075780926,fls2_root,Keep
fls2,Pseudomonas,0.050115583,fls2_root,Keep
fls2,Pseudomonas,0.049671033,fls2_root,Keep
fls2,Pseudomonas,0.060962599,fls2_root,Keep
fls2,Pseudomonas,0.099342066,fls2_root,Keep
